Word,Sentiment_Score
magnificently,3.4
aml,3.4
ily,3.4
ilu,3.4
lya,3.3
ecstacy,3.3
euphoria,3.3
sweetheart,3.3
glorious,3.2
143,3.2
cheerfullest,3.2
perfectly,3.2
lovingly,3.2
freedom,3.2
greatest,3.2
love,3.2
best,3.2
euphoric,3.2
glee,3.2
paradise,3.2
elated,3.2
happiest,3.2
awesome,3.1
great,3.1
joyous,3.1
perfectest,3.1
peacefullest,3.1
masterpiece,3.1
vbs,3.1
excellently,3.1
excellence,3.1
lyl,3.1
superb,3.1
smartest,3.0
xoxo,3.0
rotflol,3.0
honestest,3.0
hallelujah,3.0
brilliantly,3.0
splendor,3.0
lyb,3.0
exultant,3.0
brightest,3.0
exhilarated,3.0
heavenlier,3.0
amor,3.0
lovable,3.0
heavenly,3.0
outstanding,3.0
jubilant,3.0
gorgeous,3.0
xlnt,3.0
perfectness,3.0
enrapture,3.0
prizewinning,3.0
sweet<3,3.0
rotgl,2.9
adoration,2.9
joyously,2.9
gleeful,2.9
funnest,2.9
magnificent,2.9
blissful,2.9
blockbuster,2.9
blessed,2.9
wonderfully,2.9
delight,2.9
marvelous,2.9
8d,2.9
gloriously,2.9
gorgeousness,2.9
positivest,2.9
joyful,2.9
bff,2.9
heroical,2.9
super,2.9
beautiful,2.9
luckiest,2.9
congratulations,2.9
joyed,2.9
ambw,2.9
congratulation,2.9
divinely,2.9
loved,2.9
soulmate,2.9
lmao,2.9
brilliance,2.9
delectable,2.9
ecstasy,2.9
brilliances,2.9
loving,2.9
champion,2.9
jolliest,2.9
ecstatics,2.9
wonderfulness,2.9
delightful,2.8
pleasuring,2.8
wow,2.8
xd,2.8
rotflmao,2.8
beneficence,2.8
(-:0,2.8
sweethearts,2.8
honored,2.8
heroism,2.8
lifesaver,2.8
exhilarates,2.8
alol,2.8
amazing,2.8
miracle,2.8
successful,2.8
charming,2.8
tenderheartednesses,2.8
exuberant,2.8
darling,2.8
fabulousness,2.8
winner,2.8
gracefullest,2.8
:-)),2.8
godsend,2.8
2g2b4g,2.8
beauty,2.8
rejoicing,2.8
joyousness,2.8
sete,2.8
blessedest,2.8
lover,2.8
lovely,2.8
brilliant,2.8
ecstatically,2.8
pukka,2.8
delectably,2.8
cutest,2.8
